iter	Poisson
0	0.899654103
1	0.7977768425
2	0.6980844248
3	0.5949304866
4	0.4995939367
5	0.4019657701
6	0.3107277364
7	0.2187720375
8	0.1233384725
9	0.03395197156
10	-0.05200492197
11	-0.1409701112
12	-0.2285627065
13	-0.3108305043
14	-0.3903738312
15	-0.4703851127
16	-0.552407061
17	-0.6301931496
18	-0.7095987311
19	-0.7855014834
20	-0.8591008227
21	-0.9333325025
22	-1.002192371
23	-1.068986306
24	-1.14063313
25	-1.209315843
26	-1.279448203
27	-1.347377605
28	-1.415304124
29	-1.480068842
30	-1.54456035
31	-1.605692967
32	-1.666799681
33	-1.726900032
34	-1.787931871
35	-1.842925665
36	-1.897854325
37	-1.955236853
38	-2.011459759
39	-2.064907656
40	-2.115958628
41	-2.165370086
42	-2.214422751
43	-2.261720679
44	-2.309323398
45	-2.356170703
46	-2.402948304
47	-2.451293279
48	-2.498221512
49	-2.541891413
50	-2.585621178
51	-2.62902227
52	-2.668389171
53	-2.706185537
54	-2.747938437
55	-2.788159366
56	-2.826907839
57	-2.862727847
58	-2.899682211
59	-2.934309716
60	-2.967564236
61	-3.004419669
62	-3.037387393
63	-3.071790179
64	-3.103423192
65	-3.133043501
66	-3.162328307
67	-3.190919605
68	-3.221509726
69	-3.251085414
70	-3.280120104
71	-3.305797885
72	-3.333522119
73	-3.362336401
74	-3.387279386
75	-3.412255871
76	-3.436541005
77	-3.45998195
78	-3.482955532
79	-3.507614547
80	-3.531935756
81	-3.551833471
82	-3.572905873
83	-3.596447597
84	-3.616720584
85	-3.640022912
86	-3.65936928
87	-3.680503353
88	-3.699615355
89	-3.716957987
90	-3.734354327
91	-3.753202832
92	-3.770832665
93	-3.790025375
94	-3.808060777
95	-3.825941213
96	-3.841041546
97	-3.857358874
98	-3.872151573
99	-3.887815064
100	-3.903068762
101	-3.918144595
102	-3.932380809
103	-3.946500378
104	-3.960128743
105	-3.974552363
106	-3.987538778
107	-4.000926637
108	-4.012485914
109	-4.023410194
110	-4.035973363
111	-4.048279915
112	-4.061807756
113	-4.072366769
114	-4.083766467
115	-4.096406161
116	-4.108099803
117	-4.11889588
118	-4.128574465
119	-4.138022426
120	-4.148057158
121	-4.157647211
122	-4.169037427
123	-4.180760806
124	-4.188938361
125	-4.19748622
126	-4.205772468
127	-4.215397148
128	-4.223035119
129	-4.232222725
130	-4.2403713
131	-4.246934107
132	-4.253791114
133	-4.260454029
134	-4.267860086
135	-4.275558898
136	-4.282057908
137	-4.288678305
138	-4.294995226
139	-4.301547645
140	-4.309451871
141	-4.315022174
142	-4.320563362
143	-4.327145677
144	-4.332197777
145	-4.338380407
146	-4.343506288
147	-4.349064157
148	-4.354789349
149	-4.360305272
150	-4.365324574
151	-4.370545709
152	-4.375940997
153	-4.381612982
154	-4.386682946
155	-4.390847749
156	-4.395707909
157	-4.401662703
158	-4.405898208
159	-4.410363652
160	-4.415404047
161	-4.420025944
162	-4.425585398
163	-4.42988337
164	-4.433660505
165	-4.437590735
166	-4.440817657
167	-4.444040403
168	-4.447294904
169	-4.450440217
170	-4.454007137
171	-4.457376066
172	-4.46098601
173	-4.465527436
174	-4.468690885
175	-4.472087819
