iter	Passed	Remaining
0	14	9871
1	28	9856
2	41	9739
3	55	9739
4	69	9687
5	83	9603
6	96	9583
7	110	9583
8	124	9586
9	138	9555
10	152	9549
11	166	9551
12	180	9558
13	194	9547
14	208	9521
15	222	9522
16	236	9512
17	250	9493
18	264	9474
19	278	9474
20	292	9471
21	306	9457
22	321	9465
23	335	9439
24	349	9441
25	364	9436
26	378	9435
27	392	9427
28	406	9405
29	420	9402
30	435	9400
31	448	9368
32	463	9361
33	477	9348
34	491	9337
35	505	9327
36	519	9307
37	533	9294
38	547	9276
39	561	9258
40	575	9247
41	589	9236
42	603	9218
43	620	9252
44	634	9239
45	648	9226
46	663	9213
47	676	9189
48	690	9177
49	705	9165
50	718	9147
51	733	9135
52	747	9119
53	761	9107
54	775	9097
55	789	9078
56	803	9064
57	817	9048
58	831	9029
59	845	9015
60	858	8995
61	872	8979
62	886	8967
63	901	8955
64	914	8935
65	929	8925
66	943	8913
67	956	8893
68	970	8879
69	985	8867
70	999	8853
71	1012	8834
72	1027	8821
73	1041	8811
74	1055	8798
75	1070	8786
76	1084	8774
77	1098	8761
78	1112	8747
79	1127	8737
80	1141	8725
81	1156	8713
82	1170	8699
83	1184	8688
84	1198	8674
85	1212	8659
86	1230	8671
87	1244	8655
88	1258	8636
89	1271	8618
90	1285	8601
91	1298	8582
92	1312	8568
93	1326	8551
94	1341	8542
95	1355	8526
96	1369	8510
97	1382	8493
98	1396	8477
99	1411	8466
100	1424	8449
101	1439	8440
102	1453	8425
103	1467	8409
104	1481	8393
105	1495	8378
106	1509	8363
107	1522	8347
108	1537	8335
109	1551	8319
110	1564	8303
111	1578	8289
112	1593	8276
113	1606	8259
114	1621	8246
115	1634	8227
116	1648	8213
117	1662	8197
118	1676	8184
119	1690	8170
120	1704	8157
121	1718	8142
122	1732	8127
123	1746	8114
124	1760	8100
125	1775	8086
126	1789	8073
127	1803	8059
128	1817	8043
129	1834	8045
130	1849	8031
131	1862	8016
132	1877	8004
133	1892	7993
134	1906	7979
135	1920	7966
136	1935	7952
137	1949	7938
138	1963	7924
139	1977	7909
140	1992	7898
141	2006	7883
142	2020	7868
143	2034	7856
144	2048	7839
145	2062	7824
146	2075	7807
147	2089	7792
148	2103	7777
149	2117	7764
150	2131	7749
151	2145	7736
152	2160	7722
153	2174	7710
154	2191	7706
155	2206	7694
156	2220	7681
157	2234	7666
158	2248	7650
159	2261	7634
160	2275	7618
161	2289	7604
162	2304	7591
163	2318	7578
164	2333	7564
165	2346	7549
166	2361	7536
167	2375	7522
168	2390	7510
169	2405	7498
170	2419	7485
171	2434	7472
172	2452	7470
173	2466	7456
174	2480	7441
175	2494	7426
176	2508	7412
177	2523	7399
178	2537	7384
179	2551	7371
180	2566	7358
181	2581	7345
182	2594	7330
183	2609	7316
184	2622	7301
185	2636	7286
186	2651	7273
187	2665	7257
188	2679	7244
189	2694	7232
190	2708	7217
191	2723	7205
192	2736	7189
193	2751	7175
194	2765	7160
195	2779	7146
196	2793	7132
197	2808	7119
198	2822	7107
199	2837	7093
200	2851	7077
201	2865	7063
202	2880	7051
203	2894	7038
204	2909	7025
205	2923	7010
206	2937	6996
207	2951	6981
208	2965	6966
209	2980	6954
210	2995	6941
211	3009	6928
212	3023	6914
213	3037	6898
214	3052	6885
215	3069	6878
216	3083	6863
217	3098	6850
218	3112	6836
219	3127	6823
220	3141	6808
221	3155	6793
222	3169	6779
223	3184	6766
224	3197	6751
225	3212	6737
226	3226	6723
227	3240	6708
228	3254	6694
229	3269	6680
230	3283	6667
231	3298	6653
232	3312	6638
233	3327	6626
234	3341	6611
235	3356	6599
236	3371	6586
237	3385	6572
238	3399	6557
239	3414	6543
240	3428	6529
241	3442	6515
242	3456	6501
243	3471	6487
244	3485	6473
245	3500	6460
246	3514	6445
247	3528	6431
248	3543	6417
249	3557	6403
250	3572	6389
251	3587	6376
252	3601	6362
253	3615	6348
254	3629	6334
255	3643	6319
256	3658	6305
257	3673	6293
258	3691	6286
259	3707	6273
260	3721	6259
261	3735	6245
262	3750	6231
263	3765	6218
264	3778	6203
265	3794	6190
266	3808	6175
267	3821	6160
268	3835	6145
269	3850	6131
270	3863	6116
271	3877	6101
272	3891	6086
273	3905	6072
274	3920	6058
275	3934	6044
276	3948	6029
277	3963	6016
278	3977	6002
279	3992	5988
280	4006	5973
281	4020	5960
282	4035	5946
283	4049	5931
284	4063	5916
285	4077	5902
286	4092	5889
287	4106	5875
288	4120	5860
289	4134	5845
290	4148	5831
291	4162	5816
292	4177	5802
293	4191	5788
294	4205	5774
295	4220	5759
296	4234	5745
297	4249	5732
298	4263	5717
299	4277	5702
300	4291	5689
301	4310	5680
302	4324	5666
303	4339	5652
304	4353	5637
305	4367	5623
306	4381	5609
307	4396	5595
308	4410	5580
309	4424	5566
310	4439	5552
311	4453	5538
312	4467	5524
313	4482	5509
314	4496	5495
315	4510	5481
316	4524	5466
317	4539	5452
318	4553	5438
319	4566	5423
320	4580	5408
321	4595	5394
